pi-sched,SCHED_OTHER,5,true,10000000,0.0,0.480000,0.0,0.0,0.480000
pi-sched,SCHED_OTHER,50,true,10000000,0.0,0.828000,0.0,0.0,1.020000
pi-sched,SCHED_OTHER,100,true,10000000,0.0,0.956000,0.0,0.0,1.260000
pi-sched,SCHED_OTHER,150,true,10000000,0.0,0.944000,0.0,0.0,1.380000
pi-sched,SCHED_OTHER,200,true,10000000,0.0,0.936000,0.0,0.0,1.460000
pi-sched,SCHED_OTHER,250,true,10000000,0.0,0.964000,0.0,0.0,1.880000
pi-sched,SCHED_OTHER,300,true,10000000,0.0,0.948000,0.0,0.0,2.490000
pi-sched,SCHED_OTHER,350,true,10000000,0.0,0.980000,0.0,0.0,2.880000
pi-sched,SCHED_OTHER,400,true,10000000,0.0,0.960000,0.0,0.0,3.880000
pi-sched,SCHED_OTHER,450,true,10000000,0.0,0.960000,0.0,0.0,4.790000
pi-sched,SCHED_OTHER,500,true,10000000,0.0,0.988000,0.0,0.0,6.120000