pi-sched,SCHED_OTHER,5,false,10000000,0.0,0.524000,0.0,0.0,0.520000
pi-sched,SCHED_OTHER,50,false,10000000,0.0,0.936000,0.0,0.0,5.340000
pi-sched,SCHED_OTHER,500,false,10000000,0.0,1.424000,0.0,0.0,87.870000
pi-sched,SCHED_FIFO,5,false,10000000,0.0,0.944000,0.0,0.0,0.940000
pi-sched,SCHED_FIFO,50,false,10000000,0.0,0.940000,0.0,0.0,7.210000
pi-sched,SCHED_FIFO,500,false,10000000,0.0,0.940000,0.0,0.0,70.120000
pi-sched,SCHED_RR,5,false,10000000,0.0,0.748000,0.0,0.0,0.750000
pi-sched,SCHED_RR,50,false,10000000,0.0,0.980000,0.0,0.0,3.330000
pi-sched,SCHED_RR,500,false,10000000,0.0,1.12000,0.0,0.0,33.050000
pi-sched,SCHED_OTHER,5,true,10000000,0.0,0.744000,0.0,0.0,17.010000
pi-sched,SCHED_OTHER,50,true,10000000,0.0,0.948000,0.0,0.0,22.760000
pi-sched,SCHED_OTHER,500,true,10000000,0.0,0.980000,0.0,0.0,1.410000
pi-sched,SCHED_FIFO,5,true,10000000,0.0,0.976000,0.0,0.0,0.980000
pi-sched,SCHED_FIFO,50,true,10000000,0.0,0.976000,0.0,0.0,6.520000
pi-sched,SCHED_FIFO,500,true,10000000,0.0,0.976000,0.0,0.0,74.340000
pi-sched,SCHED_RR,5,true,10000000,0.0,1.48000,0.0,0.0,1.060000
pi-sched,SCHED_RR,50,true,10000000,0.0,0.976000,0.0,0.0,3.540000
pi-sched,SCHED_RR,500,true,10000000,0.0,1.28000,0.0,0.0,33.700000
rw-sched,SCHED_OTHER,5,false,1024,8,0.0,0.0,0.0,0.0,13.990000
rw-sched,SCHED_OTHER,50,false,1024,8,0.0,0.0,0.0,0.0,1.750000
rw-sched,SCHED_OTHER,500,false,1024,8,0.0,0.0,0.0,0.12000,7.780000
rw-sched,SCHED_FIFO,5,false,1024,8,0.0,0.16000,0.0,0.0,10.400000
rw-sched,SCHED_FIFO,50,false,1024,8,0.0,0.0,0.0,0.4000,1.790000
rw-sched,SCHED_FIFO,500,false,1024,8,0.0,0.0,0.0,0.4000,15.090000
rw-sched,SCHED_RR,5,false,1024,8,0.0,0.0,0.0,0.24000,0.860000
rw-sched,SCHED_RR,50,false,1024,8,0.0,0.4000,0.0,0.0,1.420000
rw-sched,SCHED_RR,500,false,1024,8,0.0,0.0,0.0,0.0,12.820000
rw-sched,SCHED_OTHER,5,true,1024,8,0.0,0.0,0.0,0.12000,0.800000
rw-sched,SCHED_OTHER,50,true,1024,8,0.0,0.0,0.0,0.4000,1.680000
rw-sched,SCHED_OTHER,500,true,1024,8,0.0,0.8000,0.0,0.0,2.510000
rw-sched,SCHED_FIFO,5,true,1024,8,0.0,0.0,0.0,0.8000,11.230000
rw-sched,SCHED_FIFO,50,true,1024,8,0.0,0.4000,0.0,0.0,1.850000
rw-sched,SCHED_FIFO,500,true,1024,8,0.0,0.0,0.0,0.0,8.870000
rw-sched,SCHED_RR,5,true,1024,8,0.0,0.0,0.0,0.12000,6.790000
rw-sched,SCHED_RR,50,true,1024,8,0.0,0.0,0.0,0.4000,1.600000
rw-sched,SCHED_RR,500,true,1024,8,0.0,0.0,0.0,0.0,14.570000
mixed-sched,SCHED_OTHER,5,false,10000000,1024,8,0.0,1.56000,0.0,0.4000,1.570000
mixed-sched,SCHED_OTHER,50,false,10000000,1024,8,0.0,0.856000,0.0,0.0,5.520000
mixed-sched,SCHED_OTHER,500,false,10000000,1024,8,0.0,1.360000,0.0,0.4000,85.200000
mixed-sched,SCHED_FIFO,5,false,10000000,1024,8,0.0,0.900000,0.0,0.0,3.180000
mixed-sched,SCHED_FIFO,50,false,10000000,1024,8,0.0,0.892000,0.0,0.4000,9.050000
mixed-sched,SCHED_FIFO,500,false,10000000,1024,8,0.0,0.896000,0.0,0.0,69.260000
mixed-sched,SCHED_RR,5,false,10000000,1024,8,0.0,1.872000,0.0,0.0,8.650000
mixed-sched,SCHED_RR,50,false,10000000,1024,8,0.0,0.888000,0.0,0.0,7.320000
mixed-sched,SCHED_RR,500,false,10000000,1024,8,0.0,0.892000,0.0,0.4000,98.040000
mixed-sched,SCHED_OTHER,5,true,10000000,1024,8,0.0,1.204000,0.0,0.4000,1.610000
mixed-sched,SCHED_OTHER,50,true,10000000,1024,8,0.0,0.888000,0.0,0.0,1.370000
mixed-sched,SCHED_OTHER,500,true,10000000,1024,8,0.0,0.896000,0.0,0.0,1.880000
mixed-sched,SCHED_FIFO,5,true,10000000,1024,8,0.0,0.892000,0.0,0.0,1.570000
mixed-sched,SCHED_FIFO,50,true,10000000,1024,8,0.0,1.492000,0.0,0.4000,12.320000
mixed-sched,SCHED_FIFO,500,true,10000000,1024,8,0.0,0.896000,0.0,0.12000,65.640000
mixed-sched,SCHED_RR,5,true,10000000,1024,8,0.0,0.904000,0.0,0.0,7.850000
mixed-sched,SCHED_RR,50,true,10000000,1024,8,0.0,0.888000,0.0,0.4000,7.570000
mixed-sched,SCHED_RR,500,true,10000000,1024,8,0.0,0.896000,0.0,0.4000,69.630000